Underliggande tillgång;Ticker;Indexnamn;MS_Asset
Tele2 B;TEL2-B.ST;Tele2 B;TEL2B_SS_Equity
Telia Co;TELIA.ST;Telia Co;TELIA_SS_Equity
Tencent;TCEHY;Tencent;TCEHY_US_Equity
Tencent Music Entertainment;TME;Tencent Music Entertainment;TME_US_Equity
Teqnion;TEQ.ST;Teqnion;TEQ_SS_Equity
Tesla;TSLA;Tesla;TSLA_US_Equity
Texas Instruments;TXN;Texas Instruments;TXN_US_Equity
Thales;HO.PA;Thales;HO_FP_Equity
Thule Group;THULE.ST;Thule Group;THULE_SS_Equity
TietoEVRY;TIETOS.ST;TietoEVRY;TIETOS_SS_Equity
Tomra Systems;TOM.OL;Tomra Systems;TOM_NO_Equity
Trade Desk;TTD;Trade Desk;TTD_US_Equity
Trane Technologies;TT;Trane Technologies;TT_US_Equity
Traton;8TRA.ST;Traton;8TRA_SS_Equity
Trelleborg B;TREL-B.ST;Trelleborg B;TRELB_SS_Equity
Trianon;TRIAN-B.ST;Trianon;TRIANB_SS_Equity
Trimble;TRMB;Trimble;TRMB_US_Equity
Trip.com Group;TCOM;Trip.com Group;TCOM_US_Equity
TripAdvisor;TRIP;TripAdvisor;TRIP_US_Equity
Troax Group;TROAX.ST;Troax Group;TROAX_SS_Equity
Truecaller;TRUE-B.ST;Truecaller;TRUEB_SS_Equity
UPS;UPS;UPS;UPS_US_Equity
US 10Y T-Note Mar26;ZN=F;US 10Y T-Note Mar26;TYH6_Comdty
US 2Y T-Note Mar26;2YY=F;US 2Y T-Note Mar26;TUH6_Comdty
US 30Y T-Bond Mar26;^TYX;US 30Y T-Bond Mar26;USH6_Comdty
USD/CAD;USDCAD=X;USD/CAD;USDCAD_Curncy
USD/JPY;USDJPY=X;USD/JPY;USDJPY_Curncy
USD/SEK;USDSEK=X;USD/SEK;USDSEK_Curncy
Uber;UBER;Uber;UBER_US_Equity
Ubisoft Entertainment;UBI.PA;Ubisoft Entertainment;UBI_FP_Equity
Union Pacific;UNP;Union Pacific;UNP_US_Equity
United Airlines;UAL;United Airlines;UAL_US_Equity
UnitedHealth Group;UNH;UnitedHealth Group;UNH_US_Equity
Unity Software;U;Unity Software;U_US_Equity
Up Fintech Holding Ltd;TIGR;Up Fintech Holding Ltd;TIGR_US_Equity
Upstart Holdings;UPST;Upstart Holdings;UPST_US_Equity
Upwork;UPWK;Upwork;UPWK_US_Equity
VBG Group B;VBG-B.ST;VBG Group B;VBGB_SS_Equity
VNV Global;VNV.ST;VNV Global;VNV_SS_Equity
Vale;VALE;Vale;VALE_US_Equity
Var Energi AS;VARRY;Var Energi AS;VARRY_US_Equity
Verizon Communications;VZ;Verizon Communications;VZ_US_Equity
Verve Group (SS Line);VER.ST;Verve Group (SS Line);VER_SS_Equity
Vestas Wind Systems;VWS.CO;Vestas Wind Systems;VWS_DC_Equity
Vestum;VESTUM.ST;Vestum;VESTUM_SS_Equity
Viaplay Group;VPLAY-B.ST;Viaplay Group;VPLAYB_SS_Equity
Vicore Pharma Holding;VICO.ST;Vicore Pharma Holding;VICO_SS_Equity
Viking Supply Ships;VSSAB-B.ST;Viking Supply Ships;VSSABB_SS_Equity
Vimian Group;VIMIAN.ST;Vimian Group;VIMIAN_SS_Equity
Visa;V;Visa;V_US_Equity
Vistra;VST;Vistra;VST_US_Equity
Vitec Software Group;VIT-B.ST;Vitec Software Group;VITB_SS_Equity
Vitrolife;VITR.ST;Vitrolife;VITR_SS_Equity
Volati;VOLO.ST;Volati;VOLO_SS_Equity
Volvo B;VOLV-B.ST;Volvo B;VOLVB_SS_Equity
Volvo Car;VOLCAR-B.ST;Volvo Car;VOLCARB_SS_Equity
WTI Crude Oil Feb26;CL=F;WTI Crude Oil Feb26;CLH6_Comdty
Wallenstam;WALL-B.ST;Wallenstam;WALLB_SS_Equity
Walmart;WMT;Walmart;WMT_US_Equity
Walt Disney;DIS;Walt Disney;DIS_US_Equity
Western Union;WU;Western Union;WU_US_Equity
Wheat Mar26;KE=F;Wheat Mar26;W_K6_Comdty
Wheaton Precious Metals;WPM;Wheaton Precious Metals;WPM_US_Equity
Wihlborgs Fastigheter;WIHL.ST;Wihlborgs Fastigheter;WIHL_SS_Equity
XANO Industri;XANO-B.ST;XANO Industri;XANOB_SS_Equity
XPeng;XPEV;XPeng;XPEV_US_Equity
Xvivo Perfusion;XVIVO.ST;Xvivo Perfusion;XVIVO_SS_Equity
Yubico;YUBICO.ST;Yubico;YUBICO_SS_Equity
ZIM Integrated Shipping Services;ZIM;ZIM Integrated Shipping Services;ZIM_US_Equity
Zalando;ZAL.DE;Zalando;ZAL_GY_Equity
Zaptec;ZAP.OL;Zaptec;ZAP_NO_Equity
Zealand Pharma;ZEAL.CO;Zealand Pharma;ZEAL_DC_Equity
Zions Bancorporation;ZION;Zions Bancorporation;ZION_US_Equity
Zoom Communications;ZM;Zoom Communications;ZM_US_Equity
adidas;ADS.DE;adidas;ADS_GY_Equity
eWork Group;EWRK.ST;eWork Group;EWRK_SS_Equity
