Underliggande tillgång;Ticker;Indexnamn;MS_Asset
Exxon Mobil;XOM;Exxon Mobil;XOM_US_Equity
FM Mattsson Mora Group;FMM-B.ST;FM Mattsson Mora Group;FMMB_SS_Equity
FTSE 100®;^FTSE;FTSE 100®;UKX_Index
Fabege;FABG.ST;Fabege;FABG_SS_Equity
Fagerhult;FAG.ST;Fagerhult;FAG_SS_Equity
Fasadgruppen Group AB;FG.ST;Fasadgruppen Group AB;FG_SS_Equity
FastPartner;FPAR-D.ST;FastPartner;FPARD_SS_Equity
Fastly;FSLY;Fastly;FSLY_US_Equity
Fiverr International;FVRR;Fiverr International;FVRR_US_Equity
Floor & Decor;FND;Floor & Decor;FND_US_Equity
Ford;F;Ford;F_US_Equity
Fortinet;FTNT;Fortinet;FTNT_US_Equity
Fortis Inc;FTS;Fortis Inc;FTS_US_Equity
Fortum;FORTUM.HE;Fortum;FORTUM_FH_Equity
Franco-Nevada;FNV;Franco-Nevada;FNV_US_Equity
Freeport-McMoRan;FCX;Freeport-McMoRan;FCX_US_Equity
Freshpet;FRPT;Freshpet;FRPT_US_Equity
FuelCell Energy;FCEL;FuelCell Energy;FCEL_US_Equity
Futu Holdings;FUTU;Futu Holdings;FUTU_US_Equity
GBP/JPY;GBPJPY=X;GBP/JPY;GBPJPY_Curncy
General Dynamics;GD;General Dynamics;GD_US_Equity
General Motors;GM;General Motors;GM_US_Equity
Getinge B;GETI-B.ST;Getinge B;GETIB_SS_Equity
Gilead Sciences;GILD;Gilead Sciences;GILD_US_Equity
Globalstar;GSAT;Globalstar;GSAT_US_Equity
Gold Feb26;GC=F;Gold Feb26;GCJ6_Comdty
Gold Fields;GFI;Gold Fields;GFI_US_Equity
Goldman Sachs;GS;Goldman Sachs;GS_US_Equity
GomSpace Group;GOMX.ST;GomSpace Group;GOMX_SS_Equity
Green Landscaping Group;GREEN.ST;Green Landscaping Group;GREEN_SS_Equity
HA Sustainable Infrastructure;HASI;HA Sustainable Infrastructure;HASI_US_Equity
HMS Networks;HMS.ST;HMS Networks;HMS_SS_Equity
Handelsbanken A;SHB-A.ST;Handelsbanken A;SHBA_SS_Equity
Hansa Medical;HNSA.ST;Hansa Medical;HNSA_SS_Equity
Hanza;HANZA.ST;Hanza;HANZA_SS_Equity
Harbour Energy;HBR.L;Harbour Energy;HBR_LN_Equity
Haypp Group;HAYPP.ST;Haypp Group;HAYPP_SS_Equity
Heba Fastighets;HEBA-B.ST;Heba Fastighets;HEBAB_SS_Equity
Hemnet Group;HEM.ST;Hemnet Group;HEM_SS_Equity
Hennes & Mauritz B;HM-B.ST;Hennes & Mauritz B;HMB_SS_Equity
Hermes International;RMS.PA;Hermes International;RMS_FP_Equity
Hexagon;HEXA-B.ST;Hexagon;HEXAB_SS_Equity
Hexatronic Group;HTRO.ST;Hexatronic Group;HTRO_SS_Equity
Hexpol;HPOL-B.ST;Hexpol;HPOLB_SS_Equity
Hims & Hers Health;HIMS;Hims & Hers Health;HIMS_US_Equity
Hoist Finance;HOFI.ST;Hoist Finance;HOFI_SS_Equity
Holmen B;HOLM-B.ST;Holmen B;HOLMB_SS_Equity
Hon Hai Precision Industry GDR;HHP2.F;Hon Hai Precision Industry GDR;HHP2_GY_Equity
HubSpot;HUBS;HubSpot;HUBS_US_Equity
Hufvudstaden A;HUFV-A.ST;Hufvudstaden A;HUFVA_SS_Equity
Humble Group;HUMBLE.ST;Humble Group;HUMBLE_SS_Equity
Husqvarna;HUSQ-B.ST;Husqvarna;HUSQB_SS_Equity
IBEX 35®;^IBEX;IBEX 35®;IBEX_Index
IBM;IBM;IBM;IBM_US_Equity
IG Group Holdings Plc;I5G.F;IG Group Holdings Plc;I5G_GY_Equity
INVISIO Communications;IVSO.ST;INVISIO Communications;IVSO_SS_Equity
IREN;IREN;IREN;IREN_US_Equity
Idun Industrier;IDUN-B.ST;Idun Industrier;IDUNB_SS_Equity
Implantica;IMP-A-SDB.ST;Implantica;IMPASDB_SS_Equity
Incap;ICP1V.HE;Incap;ICP1V_FH_Equity
Industrivarden;INDU-C.ST;Industrivarden;INDUA_SS_Equity
Indutrade;INDT.ST;Indutrade;INDT_SS_Equity
Insight Enterprises;NSIT;Insight Enterprises;NSIT_US_Equity
Insmed;INSM;Insmed;INSM_US_Equity
Instalco;INSTAL.ST;Instalco;INSTAL_SS_Equity
Intel;INTC;Intel;INTC_US_Equity
International Petroleum;IPCO.ST;International Petroleum;IPCO_SS_Equity
Intrum Justitia;INTRUM.ST;Intrum Justitia;INTRUM_SS_Equity
Intuit;INTU;Intuit;INTU_US_Equity
Intuitive Surgical;ISRG;Intuitive Surgical;ISRG_US_Equity
Investment AB Oresund;ORES.ST;Investment AB Oresund;ORES_SS_Equity
Investor B;INVE-B.ST;Investor B;INVEB_SS_Equity
Inwido;INWI.ST;Inwido;INWI_SS_Equity
IonQ;IONQ;IonQ;IONQ_US_Equity
JD.com;JD;JD.com;JD_US_Equity
JM;JM.ST;JM;JM_SS_Equity
JPMorgan;JPM;JPMorgan;JPM_US_Equity
John Mattson;JOMA.ST;John Mattson;JOMA_SS_Equity
Johnson & Johnson;JNJ;Johnson & Johnson;JNJ_US_Equity
K-Fast Holding;KFAST-B.ST;K-Fast Holding;KFASTB_SS_Equity
KKR;KKR;KKR;KKR_US_Equity
KNOW IT;KNOW.ST;KNOW IT;KNOW_SS_Equity
Kambi;KAMBI.ST;Kambi;KAMBI_SS_Equity
Kering;PPRUY;Kering;PPRUY_US_Equity
Keysight Technologies;KEYS;Keysight Technologies;KEYS_US_Equity
Kimberly-Clark;KMB;Kimberly-Clark;KMB_US_Equity
Kinnevik B;KINV-B.ST;Kinnevik B;KINVB_SS_Equity
Klarna Group Plc;KLAR;Klarna Group Plc;KLAR_US_Equity
Kongsberg Gruppen;KBGGY;Kongsberg Gruppen;KBGGY_US_Equity
Kroger;KR;Kroger;KR_US_Equity
LINK Mobility Group;0A5Q.IL;LINK Mobility Group;0A5Q_NO_Equity
LVMH;MC.PA;LVMH;MC_FP_Equity
Lagercrantz Group;LAGR-B.ST;Lagercrantz Group;LAGRB_SS_Equity
Lam Research;LRCX;Lam Research;LRCX_US_Equity
Latour B;LATO-B.ST;Latour B;LATOB_SS_Equity
Lemonade;LMND;Lemonade;LMND_US_Equity
Leonardo;DRS;Leonardo;DRS_US_Equity
Li Auto ADR;LI;Li Auto ADR;LI_US_Equity
Lifco;LIFCO-B.ST;Lifco;LIFCOB_SS_Equity
Lime Technologies;LIME.ST;Lime Technologies;LIME_SS_Equity
Linc;LINC.ST;Linc;LINC_SS_Equity
Lindab International;LIAB.ST;Lindab International;LIAB_SS_Equity
Lithium Americas (US Line);LAC;Lithium Americas (US Line);LAC_US_Equity
Lockheed Martin;LMT;Lockheed Martin;LMT_US_Equity
Logistea B;LOGI-B.ST;Logistea B;LOGIB_SS_Equity
Loomis;LOOMIS.ST;Loomis;LOOMIS_SS_Equity
Lucid Group;LCID;Lucid Group;LCID_US_Equity
Lululemon Athletica;LULU;Lululemon Athletica;LULU_US_Equity
Lundbergforetagen;LUND-B.ST;Lundbergforetagen;LUNDB_SS_Equity
Lundin Gold (SS);LUG.ST;Lundin Gold (SS);LUG_SS_Equity
Lundin Mining Corp SDB;LUMI.ST;Lundin Mining Corp;LUMI_SS_Equity
Lyft;LYFT;Lyft;LYFT_US_Equity
Lyko Group;LYKO-A.ST;Lyko Group;LYKOA_SS_Equity
MARA Holdings;MARA;MARA Holdings;MARA_US_Equity
MEKO;MEKO.ST;MEKO;MEKO_SS_Equity
MIPS;MIPS.ST;MIPS;MIPS_SS_Equity
MP Materials;MP;MP Materials;MP_US_Equity
MPC Container Ships;MPCC.OL;MPC Container Ships;MPCC_NO_Equity
MarketAxess Holdings;MKTX;MarketAxess Holdings;MKTX_US_Equity
Mastercard;MA;Mastercard;MA_US_Equity
Match Group;MTCH;Match Group;MTCH_US_Equity
McDonald's;MCD;McDonald's;MCD_US_Equity
MedCap;MCAP.ST;MedCap;MCAP_SS_Equity
Medicover;MCOV-B.ST;Medicover;MCOVB_SS_Equity
Medistim;MEDIO.OL;Medistim;MEDIO_NO_Equity
Merck;MRK;Merck;MRK_US_Equity
Meta Platforms;META;Meta Platforms;META_US_Equity
Micro Systemation;MSAB-B.ST;Micro Systemation;MSABB_SS_Equity
Micron Technology;MU;Micron Technology;MU_US_Equity
Microsoft;MSFT;Microsoft;MSFT_US_Equity
Mildef Group;MILDEF.ST;Mildef Group;MILDEF_SS_Equity
Millicom International Cellular;M4M1.F;Millicom International Cellular;M4M1_GY_Equity
Modern Times Group B;MTG-B.ST;Modern Times Group B;MTGB_SS_Equity
Moderna;MRNA;Moderna;MRNA_US_Equity
Momentum Group;MMGR-B.ST;Momentum Group;MMGRB_SS_Equity
